station id, station name, valid,oblačnost [%]
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-04,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-05,27
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-06,33
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-07,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-08,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-09,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-10,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-11,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-12,17
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-13,33
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-14,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-15,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-16,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-17,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-18,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-19,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-20,50
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-21,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-22,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-23,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-24,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-25,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-26,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-27,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-28,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-29,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-04-30,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-01,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-02,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-03,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-04,27
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-05,77
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-06,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-07,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-08,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-09,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-10,27
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-11,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-12,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-13,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-14,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-15,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-16,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-17,53
