station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 00:00,-0.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 00:10,-0.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 00:20,-0.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 00:30,-0.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 00:40,-1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 00:50,-0.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 01:00,-0.7,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 01:10,-0.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 01:20,-0.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 01:30,-0.7,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 01:40,-0.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 01:50,-0.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 02:00,-0.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 02:10,-0.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 02:20,0.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 02:30,-0.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 02:40,-0.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 02:50,-0.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 03:00,-0.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 03:10,-1.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 03:20,-1.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 03:30,-2.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 03:40,-2.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 03:50,-2.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 04:00,-2.4,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 04:10,-2.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 04:20,-3.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 04:30,-3.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 04:40,-3.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 04:50,-4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 05:00,-3.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 05:10,-3.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 05:20,-4.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 05:30,-4.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 05:40,-4.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 05:50,-4.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 06:00,-5.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 06:10,-5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 06:20,-4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 06:30,-4.7,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 06:40,-4.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 06:50,-4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 07:00,-4.8,0,7
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 07:10,-4.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 07:20,-4.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 07:30,-4.2,0,54
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 07:40,-3.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 07:50,-3.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 08:00,-2.7,0,131
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 08:10,-2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 08:20,-1.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 08:30,-0.2,0,216
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 08:40,0.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 08:50,1.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 09:00,2.1,0,300
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 09:10,3.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 09:20,3.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 09:30,2.8,0,376
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 09:40,2.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 09:50,3.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 10:00,3.6,0,441
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 10:10,4.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 10:20,4.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 10:30,4.5,0,492
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 10:40,4.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 10:50,4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 11:00,4.8,0,545
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 11:10,5.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 11:20,5.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 11:30,5.5,0,586
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 11:40,5.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 11:50,5.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 12:00,5.8,0,606
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 12:10,6.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 12:20,6.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 12:30,5.7,0,604
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 12:40,6.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 12:50,6.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 13:00,6.7,0,597
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 13:10,6.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 13:20,7.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 13:30,7.5,0,578
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 13:40,7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 13:50,6.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 14:00,7.3,0,543
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 14:10,7.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 14:20,7.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 14:30,7.3,0,492
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 14:40,7.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 14:50,7.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 15:00,7.3,0,432
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 15:10,7.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 15:20,7.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 15:30,7.1,0,368
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 15:40,7.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 15:50,6.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 16:00,6.9,0,296
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 16:10,7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 16:20,6.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 16:30,6.7,0,211
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 16:40,6.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 16:50,6.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 17:00,5.8,0,126
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 17:10,5.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 17:20,5.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 17:30,4.8,0,47
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 17:40,3.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 17:50,2.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 18:00,1.8,0,8
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 18:10,1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 18:20,0.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 18:30,0.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 18:40,0,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 18:50,-0.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 19:00,-0.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 19:10,-1.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 19:20,-1.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 19:30,-1.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 19:40,-2.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 19:50,-2.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 20:00,-2.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 20:10,-2.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 20:20,-2.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 20:30,-2.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 20:40,-2.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 20:50,-3.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 21:00,-3.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 21:10,-3.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 21:20,-3.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 21:30,-3.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 21:40,-3.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 21:50,-3.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 22:00,-3.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 22:10,-3.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 22:20,-3.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 22:30,-4.4,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 22:40,-4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 22:50,-5.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 23:00,-5.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 23:10,-5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 23:20,-4.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 23:30,-4.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 23:40,-4.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-01 23:50,-4.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 00:00,-4.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 00:10,-5.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 00:20,-5.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 00:30,-5.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 00:40,-5.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 00:50,-5.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 01:00,-5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 01:10,-4.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 01:20,-5.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 01:30,-5.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 01:40,-5.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 01:50,-6.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 02:00,-6.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 02:10,-6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 02:20,-6.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 02:30,-6.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 02:40,-6.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 02:50,-6.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 03:00,-6.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 03:10,-6.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 03:20,-6.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 03:30,-6.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 03:40,-6.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 03:50,-6.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 04:00,-6.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 04:10,-6.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 04:20,-6.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-03-02 04:30,-6.6,0,0
