consumption
1161.6989
1118.8668
1100.2694
1089.4812
1117.6178
1190.5818
1434.0356
1648.8546
1670.6674
1613.1224
1633.8881
1615.4109
1661.9182
1611.6754
1556.1179
1546.951
1571.914
1578.0759
1573.1208
1578.3356
1527.5214
1401.2996
1308.4779
1214.1492
1113.692
1078.1166
1048.2697
1035.1818
1042.8645
1104.1826
1188.8092
1306.388
1334.4863
1391.7114
1377.9407
1314.8643
1272.4915
1261.3015
1171.8455
1146.604
1234.7964
1289.701
1370.6772
1405.7644
1325.1112
1242.8427
1161.1241
1086.5502
1012.91003
968.61664
929.9264
908.9795
912.23755
944.28235
1002.1179
1103.8895
1124.6714
1101.6549
974.15314
871.47906
775.7816
723.903
708.4174
731.6727
837.39087
1086.7373
1275.4894
1373.4977
1369.6625
1252.3961
1180.4341
1121.885
