station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 00:00,4.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 00:10,3.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 00:20,3.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 00:30,4.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 00:40,4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 00:50,3.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 01:00,3.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 01:10,4.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 01:20,4.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 01:30,3.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 01:40,3.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 01:50,4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 02:00,4.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 02:10,4.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 02:20,4.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 02:30,4.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 02:40,4.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 02:50,3.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 03:00,3.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 03:10,3.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 03:20,4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 03:30,4.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 03:40,4.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 03:50,4.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 04:00,4.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 04:10,4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 04:20,4.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 04:30,4.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 04:40,4.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 04:50,4.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 05:00,4.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 05:10,4.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 05:20,4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 05:30,4.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 05:40,4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 05:50,4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 06:00,4.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 06:10,4.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 06:20,4.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 06:30,3.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 06:40,3.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 06:50,3.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 07:00,4,0,3
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 07:10,4.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 07:20,4.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 07:30,4.1,0,18
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 07:40,4.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 07:50,4.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 08:00,4.4,0,56
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 08:10,4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 08:20,4.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 08:30,4.6,0,67
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 08:40,4.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 08:50,5.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 09:00,5.2,0,132
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 09:10,5.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 09:20,5.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 09:30,5.4,0,117
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 09:40,5.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 09:50,5.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 10:00,6,0,203
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 10:10,6.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 10:20,6.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 10:30,6.7,0,192
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 10:40,6.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 10:50,6.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 11:00,7.9,0,266
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 11:10,7.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 11:20,7.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 11:30,7.9,0,238
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 11:40,8.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 11:50,8.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 12:00,8.2,0,418
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 12:10,8.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 12:20,8.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 12:30,8.9,0,217
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 12:40,9.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 12:50,9.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 13:00,9.4,0,240
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 13:10,9.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 13:20,9.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 13:30,9.8,0,278
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 13:40,9.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 13:50,10,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 14:00,9.9,0,180
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 14:10,10.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 14:20,10.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 14:30,9.9,0,128
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 14:40,9.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 14:50,9.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 15:00,10,0,63
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 15:10,10,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 15:20,10.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 15:30,10.1,0,68
_3047,Letališče Jožeta Pučnika Ljubljana,2023-11-01 15:40,9.9,,
