station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 12:20,24.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 12:30,24.5,0,786
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 12:40,24.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 12:50,24.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 13:00,24.8,0,818
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 13:10,24.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 13:20,24.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 13:30,25.3,0,738
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 13:40,25.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 13:50,24.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 14:00,25.9,0,515
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 14:10,25.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 14:20,25.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 14:30,25,0,676
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 14:40,24.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 14:50,25.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 15:00,24.8,0,494
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 15:10,24.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 15:20,24.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 15:30,24.2,0,417
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 15:40,23.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 15:50,24.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 16:00,24.4,0,468
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 16:10,23.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 16:20,24.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 16:30,23.9,0,388
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 16:40,23.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 16:50,23.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 17:00,24.2,0,321
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 17:10,23.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 17:20,23.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 17:30,23.5,0,173
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 17:40,23.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 17:50,23.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 18:00,23.3,0,255
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 18:10,22.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 18:20,22.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 18:30,21.9,0,86
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 18:40,21.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 18:50,21.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 19:00,21.5,0,34
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 19:10,21.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 19:20,21.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 19:30,21.2,0,31
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 19:40,21.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 19:50,20.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 20:00,19.9,0,4
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 20:10,18.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 20:20,18.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 20:30,18.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 20:40,17.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 20:50,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 21:00,16.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 21:10,16.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 21:20,17.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 21:30,17.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 21:40,16.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 21:50,16.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 22:00,16.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 22:10,17,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 22:20,16.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 22:30,16.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 22:40,16.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 22:50,16,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 23:00,15.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 23:10,15.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 23:20,15.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 23:30,15.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 23:40,15.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 23:50,15.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 00:00,14.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 00:10,14.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 00:20,14.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 00:30,14.7,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 00:40,14.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 00:50,14.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 01:00,13.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 01:10,13.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 01:20,13.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 01:30,13.4,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 01:40,12.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 01:50,12.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 02:00,12.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 02:10,12.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 02:20,12.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 02:30,12.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 02:40,12.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 02:50,12.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 03:00,11.7,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 03:10,11.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 03:20,11.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 03:30,11.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 03:40,11.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 03:50,11.5,,
